trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.75, 'e': 0.99877060137872253}",25,0,-156.07328726310504,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
84,False,"{'a': 0.75, 'e': 0.9986414800495711}",25,0,-108.34123160139616,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
85,False,"{'a': 0.75, 'e': 0.99849881774326299}",25,0,-174.50290545122797,"{0: 8, 1: 6, 2: 9, 3: 1, 4: 1}",0
86,False,"{'a': 0.75, 'e': 0.99834119891982553}",20,0,-210.7476882789275,"{0: 9, 1: 2, 2: 3, 3: 3, 4: 3}",0
87,False,"{'a': 0.75, 'e': 0.99816706105750719}",25,0,-152.13086706768155,"{0: 11, 1: 2, 2: 11, 3: 0, 4: 1}",0
88,False,"{'a': 0.75, 'e': 0.9979746796109501}",25,0,-133.41411342420452,"{0: 12, 1: 5, 2: 6, 3: 1, 4: 1}",0
89,False,"{'a': 0.75, 'e': 0.99776215147872371}",25,0,-273.9584036528394,"{0: 11, 1: 1, 2: 8, 3: 0, 4: 5}",0
90,False,"{'a': 0.75, 'e': 0.99752737684336523}",20,0,-247.27507795950382,"{0: 5, 1: 5, 2: 5, 3: 1, 4: 4}",0
91,False,"{'a': 0.75, 'e': 0.99726803923698892}",20,0,-91.38386780235504,"{0: 11, 1: 6, 2: 1, 3: 1, 4: 1}",0
92,False,"{'a': 0.75, 'e': 0.99698158367529155}",20,0,-227.21610742611418,"{0: 8, 1: 2, 2: 4, 3: 3, 4: 3}",0
93,False,"{'a': 0.75, 'e': 0.99666519269258669}",20,0,-152.25735686322545,"{0: 5, 1: 5, 2: 9, 3: 0, 4: 1}",0
94,False,"{'a': 0.75, 'e': 0.996315760100564}",25,0,-150.1347158348496,"{0: 13, 1: 4, 2: 4, 3: 3, 4: 1}",0
95,False,"{'a': 0.75, 'e': 0.99592986228410385}",20,0,-169.80275666962228,"{0: 6, 1: 4, 2: 7, 3: 2, 4: 1}",0
96,False,"{'a': 0.75, 'e': 0.99550372683905886}",30,0,-186.6779251612091,"{0: 18, 1: 2, 2: 7, 3: 0, 4: 3}",0
97,False,"{'a': 0.75, 'e': 0.99503319834994308}",25,0,-183.42712567238786,"{0: 11, 1: 2, 2: 10, 3: 0, 4: 2}",0
98,False,"{'a': 0.75, 'e': 0.9945137011005496}",20,0,-145.26673613485275,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
99,False,"{'a': 0.75, 'e': 0.99394019850841586}",20,0,-136.905624898578,"{0: 8, 1: 1, 2: 10, 3: 0, 4: 1}",0
100,False,"{'a': 0.75, 'e': 0.99330714907571516}",20,0,-216.19382987576807,"{0: 7, 1: 1, 2: 8, 3: 1, 4: 3}",0
101,False,"{'a': 0.75, 'e': 0.99260845865571801}",30,0,-309.70239269467174,"{0: 12, 1: 7, 2: 4, 3: 2, 4: 5}",0
102,False,"{'a': 0.75, 'e': 0.99183742884684012}",20,0,-95.50921910991137,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
103,False,"{'a': 0.75, 'e': 0.99098670134715217}",25,0,-205.0206824785363,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
104,False,"{'a': 0.75, 'e': 0.99004819813309564}",25,0,-166.23364437431783,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
105,False,"{'a': 0.75, 'e': 0.98901305736940681}",30,0,-173.06707058115992,"{0: 12, 1: 7, 2: 9, 3: 1, 4: 1}",0
106,False,"{'a': 0.75, 'e': 0.98787156501572582}",35,0,-146.93344505846022,"{0: 18, 1: 4, 2: 12, 3: 1, 4: 0}",0
107,False,"{'a': 0.75, 'e': 0.98661308217233523}",20,0,-115.0841805601232,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
108,False,"{'a': 0.75, 'e': 0.98522596830672693}",25,0,-120.5402960124533,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
109,False,"{'a': 0.75, 'e': 0.9836975006285591}",30,0,-254.4008055321098,"{0: 11, 1: 3, 2: 11, 3: 3, 4: 2}",0
110,False,"{'a': 0.75, 'e': 0.98201379003790845}",25,0,-169.27119909448606,"{0: 13, 1: 2, 2: 7, 3: 1, 4: 2}",0
111,False,"{'a': 0.75, 'e': 0.98015969426592253}",20,0,-146.16863843382868,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
112,False,"{'a': 0.75, 'e': 0.97811872906386954}",20,0,-115.27675055990713,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
113,False,"{'a': 0.75, 'e': 0.9758729785823308}",20,0,-130.32674892904376,"{0: 7, 1: 2, 2: 9, 3: 2, 4: 0}",0
114,False,"{'a': 0.75, 'e': 0.97340300642313415}",30,0,-276.263000004782,"{0: 12, 1: 5, 2: 6, 3: 4, 4: 3}",0
115,False,"{'a': 0.75, 'e': 0.97068776924864364}",25,0,-128.89712158160367,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
116,False,"{'a': 0.75, 'e': 0.96770453530154954}",25,0,-168.21241645245073,"{0: 10, 1: 5, 2: 7, 3: 2, 4: 1}",0
117,False,"{'a': 0.75, 'e': 0.96442881072736386}",25,0,-183.19540568594454,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
118,False,"{'a': 0.75, 'e': 0.96083427720323566}",20,0,-151.90656643456074,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
119,False,"{'a': 0.75, 'e': 0.95689274505891386}",25,0,-243.6689082053834,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 5}",0
120,False,"{'a': 0.75, 'e': 0.95257412682243325}",25,0,-222.91945685605162,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
121,False,"{'a': 0.75, 'e': 0.94784643692158232}",25,0,-138.3827190058632,"{0: 10, 1: 10, 2: 2, 3: 2, 4: 1}",0
122,False,"{'a': 0.75, 'e': 0.94267582410113127}",25,0,-137.33624517712812,"{0: 13, 1: 4, 2: 5, 3: 2, 4: 1}",0
123,False,"{'a': 0.75, 'e': 0.9370266439430035}",20,0,-139.8553694364748,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
124,False,"{'a': 0.75, 'e': 0.93086157965665317}",25,0,-169.9338685423178,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
125,False,"{'a': 0.75, 'e': 0.92414181997875644}",20,0,-100.67406827082638,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
126,False,"{'a': 0.75, 'e': 0.91682730350607766}",25,0,-175.8990793991625,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
127,False,"{'a': 0.75, 'e': 0.90887703898514394}",20,0,-200.76113202547475,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
128,False,"{'a': 0.75, 'e': 0.90024951088031491}",20,5,-70.44613226300578,"{0: 8, 1: 1, 2: 4, 3: 2, 4: 0}",1
129,False,"{'a': 0.75, 'e': 0.89090317880438707}",30,0,-125.32144320926028,"{0: 17, 1: 4, 2: 8, 3: 0, 4: 1}",0
130,False,"{'a': 0.75, 'e': 0.88079707797788243}",30,0,-123.37062203813653,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
131,False,"{'a': 0.75, 'e': 0.86989152563700212}",20,0,-187.08333746392816,"{0: 7, 1: 2, 2: 8, 3: 1, 4: 2}",0
132,False,"{'a': 0.75, 'e': 0.85814893509951218}",30,0,-127.94787127847357,"{0: 18, 1: 4, 2: 6, 3: 1, 4: 1}",0
133,False,"{'a': 0.75, 'e': 0.84553473491646536}",25,0,-179.14552900238633,"{0: 11, 1: 2, 2: 10, 3: 0, 4: 2}",0
134,False,"{'a': 0.75, 'e': 0.83201838513392445}",20,0,-95.3980897037882,"{0: 11, 1: 2, 2: 4, 3: 3, 4: 0}",0
135,False,"{'a': 0.75, 'e': 0.81757447619364365}",20,0,-67.38167976225888,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
136,False,"{'a': 0.75, 'e': 0.8021838885585818}",20,6,-108.82648626961368,"{0: 6, 1: 1, 2: 5, 3: 1, 4: 1}",1
137,False,"{'a': 0.75, 'e': 0.78583498304255861}",20,0,-88.86850597040944,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
138,False,"{'a': 0.75, 'e': 0.76852478349901765}",30,0,-100.58955939340721,"{0: 19, 1: 6, 2: 3, 3: 1, 4: 1}",0
139,False,"{'a': 0.75, 'e': 0.75026010559511769}",30,16,-45.8073900820899,"{0: 8, 1: 2, 2: 3, 3: 1, 4: 0}",1
